|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  817.410        2565.08        2976.20       0.354981E-004  0.146080E-005   1257.32        5.97969        2.87255      -0.125002E+008
  834.423        2565.08        3229.62       0.336745E-004  0.121256E-005   1171.47        6.34471        3.04790      -0.124852E+008
  851.436        2565.08        3266.04       0.344598E-004  0.110067E-005   1172.07        6.52967        3.13675      -0.124612E+008
  868.449        2565.08        3294.25       0.351238E-004  0.101340E-005   1173.72        6.68996        3.21375      -0.124381E+008
  885.462        2565.08        3292.27       0.353001E-004  0.101752E-005   1178.43        6.68082        3.20936      -0.124181E+008
  902.474        2565.08        3290.29       0.354759E-004  0.102169E-005   1182.98        6.67164        3.20495      -0.123980E+008
  919.487        2565.08        3288.30       0.356515E-004  0.102590E-005   1187.40        6.66241        3.20052      -0.123779E+008
  936.500        2565.08        3286.30       0.358268E-004  0.103015E-005   1191.68        6.65314        3.19607      -0.123576E+008
  953.513        2565.08        3284.30       0.360022E-004  0.103444E-005   1195.83        6.64384        3.19160      -0.123373E+008
  970.526        2565.08        3282.28       0.361775E-004  0.103878E-005   1199.86        6.63449        3.18710      -0.123170E+008
  987.538        2565.08        3280.26       0.363531E-004  0.104317E-005   1203.77        6.62510        3.18259      -0.122965E+008
  1004.55        2565.08        3278.22       0.365289E-004  0.104760E-005   1207.58        6.61567        3.17807      -0.122760E+008
  1021.56        2565.08        3276.18       0.367052E-004  0.105208E-005   1211.28        6.60620        3.17352      -0.122554E+008
  1038.58        2565.08        3274.13       0.368819E-004  0.105660E-005   1214.88        6.59670        3.16895      -0.122348E+008
  1055.59        2565.08        3272.07       0.370591E-004  0.106118E-005   1218.38        6.58715        3.16436      -0.122141E+008
  1072.60        2565.08        3270.00       0.372370E-004  0.106580E-005   1221.79        6.57756        3.15976      -0.121933E+008
  1089.62        2565.08        3267.93       0.374156E-004  0.107047E-005   1225.12        6.56794        3.15514      -0.121725E+008
  1106.63        2565.08        3265.84       0.375951E-004  0.107519E-005   1228.36        6.55828        3.15050      -0.121516E+008
  1123.64        2565.08        3263.75       0.377753E-004  0.107996E-005   1231.52        6.54858        3.14584      -0.121307E+008
  1140.65        2565.08        3261.65       0.379566E-004  0.108478E-005   1234.61        6.53884        3.14116      -0.121097E+008
